episode,reward
1,-13.989999999999993
2,-6.449999999999994
3,-62.069999999999986
4,1.5700000000000074
5,-12.529999999999998
6,-20.809999999999995
7,-19.979999999999997
8,-45.46
9,-1.1699999999999982
10,-59.179999999999986
11,8.160000000000004
12,9.010000000000003
13,0.7300000000000066
14,7.180000000000005
15,13.970000000000013
16,-10.209999999999994
17,-4.049999999999991
18,-7.239999999999998
19,39.120000000000005
20,-7.49
21,10.900000000000004
22,-46.53000000000001
23,-2.759999999999991
24,-37.01
25,9.710000000000003
26,-35.24999999999999
27,-35.589999999999996
28,18.000000000000004
29,-79.83999999999999
30,-17.46999999999999
31,-16.439999999999987
32,1.230000000000003
33,6.52
34,-12.939999999999996
35,34.660000000000004
36,-36.82
37,-15.059999999999992
38,-15.310000000000002
39,-0.07999999999999274
40,38.58
41,-15.919999999999991
42,-24.419999999999998
43,-22.689999999999994
44,62.14000000000001
45,18.770000000000007
46,-11.539999999999996
47,12.780000000000008
48,-18.33999999999999
49,-17.18999999999999
50,2.7799999999999994
51,35.760000000000005
52,-26.499999999999993
53,32.52000000000001
54,-16.839999999999996
55,7.090000000000001
56,3.960000000000003
57,-29.779999999999994
58,6.800000000000008
59,-26.459999999999994
60,-50.339999999999996
61,-16.419999999999995
62,18.920000000000005
63,1.8900000000000077
64,9.850000000000003
65,-50.56
66,-31.04
67,-45.529999999999994
68,-0.3999999999999915
69,-59.36999999999998
70,40.620000000000005
71,17.420000000000005
72,29.49000000000001
73,-33.879999999999995
74,-41.699999999999996
75,44.06999999999999
76,-10.719999999999995
77,21.410000000000007
78,-2.1899999999999924
79,28.550000000000004
80,6.330000000000003
81,-12.919999999999993
82,-18.23999999999999
83,41.84
84,-19.719999999999988
85,-47.68999999999998
86,9.81
87,-7.479999999999988
88,3.8700000000000045
89,-30.909999999999986
90,-12.689999999999994
91,26.450000000000006
92,-9.08999999999999
93,12.040000000000008
94,16.090000000000003
95,18.870000000000005
96,17.1
97,-9.64999999999999
98,-7.20999999999999
99,-17.339999999999993
100,-7.489999999999997
101,14.590000000000002
102,-65.84999999999998
103,-17.11
104,-12.709999999999994
105,21.22000000000001
106,9.88000000000001
107,-31.619999999999997
108,18.150000000000006
109,19.610000000000007
110,13.120000000000003
111,-3.609999999999994
112,-21.469999999999988
113,11.050000000000008
114,41.260000000000005
115,-64.39999999999999
116,-21.189999999999998
117,-26.58999999999999
118,-1.3799999999999955
119,12.810000000000002
120,-8.08999999999999
121,29.130000000000013
122,-19.569999999999993
123,22.090000000000003
124,-0.7999999999999918
125,1.1800000000000002
126,20.160000000000004
127,-32.309999999999995
128,45.059999999999995
129,-35.28999999999999
130,-43.12999999999999
131,6.3400000000000025
132,15.640000000000013
133,-8.77999999999999
134,-2.429999999999991
135,7.230000000000004
136,11.510000000000002
137,0.22000000000000774
138,-40.60999999999999
139,-35.109999999999985
140,-2.219999999999992
141,33.559999999999995
142,-4.459999999999993
143,-34.15999999999999
144,44.690000000000005
145,-3.1999999999999913
146,-23.269999999999992
147,-7.109999999999996
148,0.020000000000003126
149,14.600000000000001
150,16.200000000000014
151,19.86
152,-2.1399999999999983
