episode,level,reward
163,3,7.7600
164,3,-43.3000
165,3,1.5700
166,3,20.6300
167,3,-10.6100
168,3,-59.4000
169,3,51.1700
170,3,-11.7000
171,3,10.0800
172,3,-18.9900
173,3,-11.8800
174,3,-20.3800
175,3,19.1900
176,3,9.1800
177,3,19.7600
178,3,34.5300
179,3,22.6400
180,3,19.5400
181,2,-28.9600
182,3,-32.8100
183,3,19.4400
184,3,8.1000
185,3,7.0400
186,3,-21.8500
187,3,-10.3600
188,3,-1.9800
189,3,26.7800
190,3,-11.5200
191,3,-8.6400
192,3,-17.8700
193,3,12.5300
194,3,-60.5100
195,3,29.7000
196,3,15.4000
197,3,-27.9900
198,3,-38.0400
199,3,13.8200
200,3,-38.5700
201,3,14.4900
202,3,15.8000
203,3,21.0400
204,3,-24.8100
205,3,16.1100
206,3,14.2400
207,3,4.0600
208,3,-87.3900
209,3,-8.4100
210,3,0.3800
211,3,16.5900
212,3,-1.4700
213,3,42.1300
214,3,7.2000
215,3,25.7700
216,3,6.7300
217,3,27.6800
218,3,32.3800
219,3,2.9500
220,3,32.3600
221,3,17.7400
222,3,-25.5000
223,3,10.0300
224,3,41.9800
225,3,13.4300
226,3,45.9600
227,3,27.7800
228,3,19.8400
229,3,-12.0200
230,3,-22.7800
231,3,46.2000
232,3,2.9700
233,3,26.2000
234,3,12.4100
235,3,-51.6400
236,3,2.3600
237,3,24.0100
238,3,-18.7700
239,3,2.0100
240,3,29.8000
241,3,-49.8000
242,3,42.9400
243,3,-10.4900
244,3,-7.6200
245,3,4.4300
246,3,23.6100
247,3,24.6100
248,3,10.3000
249,3,-18.2400
250,3,-14.9200
251,3,15.8400
252,3,7.1400
253,3,25.1800
254,3,26.2200
255,3,-27.1200
256,3,19.2400
257,3,-31.3600
258,3,8.6700
259,3,32.8300
260,3,-2.9400
261,3,17.9100
262,3,-5.4600
263,3,35.5200
264,3,-27.0600
265,3,50.7200
266,3,45.6200
267,3,-11.7200
268,3,-3.9500
269,3,22.5900
270,3,-9.0700
271,3,23.6000
272,3,5.4500
273,3,-10.5300
274,3,-10.9300
275,3,-1.6200
276,3,-19.5000
277,3,8.2600
278,3,-11.0600
279,3,-10.2600
280,3,16.2800
281,3,-21.7000
282,3,-30.2800
283,3,-27.9400
284,3,-14.8500
285,3,-21.1400
286,3,14.1100
287,3,-38.1200
288,3,35.4800
289,3,-64.2100
290,3,10.1900
291,3,-34.6500
292,3,-0.1800
293,3,16.3900
294,3,16.3000
295,3,-10.9700
296,3,-29.3200
297,3,7.7500
298,3,-3.0700
299,3,5.5900
300,3,-14.8700
301,3,27.0800
302,3,19.1000
303,3,-3.3700
304,3,-13.1700
305,3,6.6100
306,3,-68.0600
307,3,-12.4700
308,3,3.4900
309,3,34.2400
310,3,-48.6900
311,3,21.9200
312,3,4.1800
313,3,-0.5600
314,3,-15.7600
315,3,11.6000
316,3,-3.5100
317,3,-16.2300
318,3,7.1800
319,3,15.8900
320,3,22.4200
321,3,-64.2000
322,3,-10.2300
323,3,-20.5500
324,3,48.2400
325,3,-2.5900
326,3,24.4600
327,3,7.3000
328,3,16.3900
329,3,-32.6300
330,3,10.4100
331,3,34.8300
332,3,-30.8400
333,3,5.7000
334,3,20.8200
335,3,-29.9300
336,3,-10.2500
337,3,23.7800
338,3,5.3800
339,3,10.7600
340,3,-23.3200
341,3,17.6800
342,3,19.8200
343,3,-1.5900
344,3,-57.8900
345,3,51.4300
346,3,-35.3300
347,3,27.2900
348,3,-8.5900
349,3,10.8800
350,3,-6.6100
351,3,17.9000
352,3,2.4700
353,3,-2.1500
354,3,12.2000
355,3,19.4700
356,3,6.1500
357,3,9.7400
358,3,-22.6800
359,3,-62.3000
360,3,-14.1200
361,3,-18.4500
362,3,-7.8400
363,3,18.0000
364,3,18.8700
365,3,-37.5600
366,3,13.7900
367,3,-11.9000
368,3,-1.6600
369,3,-13.2600
370,3,-12.2600
371,3,18.7700
372,3,6.2400
373,3,41.2600
374,3,17.6800
375,3,-13.9300
376,3,47.7300
377,3,-27.0400
378,3,-8.7000
379,3,32.2600
380,3,-49.1300
381,3,-30.6100
382,3,21.8100
383,3,18.7300
384,3,0.8600
385,3,16.3400
386,3,-22.3900
387,3,21.2500
388,3,-38.0900
389,3,-13.4800
390,3,31.4700
391,3,16.0600
392,3,10.6500
393,3,5.1900
394,3,66.6600
395,3,-4.8100
396,3,42.6300
397,3,5.5500
398,3,8.8400
399,3,4.8800
400,3,21.2100
